Actual,Predicted
2,5.3884597
4,5.7766795
11,7.546056
2,4.9602585
0,3.736573
0,3.2784686
19,6.409339
0,4.113069
24,8.723567
13,11.305255
5,6.1936636
4,6.45083
5,5.656756
5,5.4086366
6,4.6840715
8,5.255559
17,7.832833
11,8.995788
9,9.908465
8,10.285291
5,9.7517185
7,7.843526
10,7.7092338
17,9.2397995
7,9.061314
4,8.844898
12,9.844631
4,8.67332
15,8.378559
6,8.135705
12,9.766028
11,9.614789
4,9.604449
15,9.625262
11,10.658731
16,11.427691
5,10.09443
4,10.076013
8,8.562577
11,8.555408
8,7.038385
14,8.99112
10,10.189912
12,11.026383
8,10.432895
4,9.539513
4,7.433569
17,8.801623
4,7.181785
9,7.3982263
8,9.827091
10,8.114902
17,11.596509
9,9.53325
18,12.583655
16,14.212559
24,17.12949
13,16.189806
22,18.882692
16,18.569769
12,17.755793
11,14.948265
18,15.992535
6,12.563739
24,13.933007
11,13.676664
19,15.266284
31,17.740927
16,19.769453
20,19.09325
19,20.781004
13,19.63375
34,20.376787
13,19.867273
19,19.622746
0,15.820235
0,2.9388413
0,1.9040854
14,3.7677078
0,2.9260983
8,4.6191335
8,6.2475834
15,9.200342
6,7.6470785
0,7.6913657
0,6.072053
3,5.013997
5,2.8801446
5,2.649997
2,3.076891
3,3.7038321
0,3.0463858
0,1.9338421
4,1.7011704
9,3.010941
2,2.8824327
20,7.027838
0,7.049695
7,7.7334313
12,8.52687
0,1.5837312
5,2.2596357
15,4.820934
6,5.3186636
0,5.278478
0,5.2338886
5,5.2014737
11,4.273139
0,3.06122
3,3.6793084
9,5.6125455
0,4.527498
2,2.7771385
5,3.8177953
0,3.2618654
0,1.3631053
4,2.1646616
3,2.2606432
11,3.6511326
5,4.5420537
13,9.533633
5,9.90892
10,8.974055
6,9.964146
14,9.828903
